year;film;detail_url;producer(s);production_company(s);wiki_url;winner;production_company;release_dates;running_time;budget;cinematography;country;directed_by;distributed_by;edited_by;language;music_by;produced_by;screenplay_by;starring;story_by;title;written_by;id_json;based_on;box_office;narrated_by;production_companies
1934  (7th);One Night of Love;http://oscars.yipitdata.com/films/One_Night_of_Love;Harry Cohn , Everett Riskin;Columbia;http://en.wikipedia.org/wiki/One_Night_of_Love;False;;   September 5, 1934 ( 1934-09-05 )       ;83 minutes;;Joseph Walker;United States;Victor Schertzinger;Columbia Pictures;Gene Milford;English Italian;Alfred Newman  Victor Schertzinger  Louis Silvers  Howard Jackson;Harry Cohn;;Grace Moore  Tullio Carminati  Lyle Talbot;;One Night of Love;Charles Beahan (story)  Dorothy Speare (story)  James Gow  S.K. Lauren  Edmund H. North;44;;;;
1934  (7th);The Thin Man;http://oscars.yipitdata.com/films/The_Thin_Man_(film);Hunt Stromberg;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/The_Thin_Man_(film);False; Metro-Goldwyn-Mayer ;   May 25, 1934 ( 1934-05-25 )  (USA)       ;93 minutes;$226,408;James Wong Howe;United States;W. S. Van Dyke;Loew's Inc.;Robert Kern;English;William Axt;Hunt Stromberg;   Albert Hackett  Frances Goodrich   ;   William Powell  Myrna Loy   ;;The Thin Man;;45;The Thin Man  by Dashiell Hammett;$1,423,000 (worldwide est.);;
1934  (7th);Viva Villa!;http://oscars.yipitdata.com/films/Viva_Villa!;David O. Selznick;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/Viva_Villa!;False;;   April 10, 1934 ( 1934-04-10 )       ;115 minutes;$1,022,000 [ 1 ];Charles G. Clarke  James Wong Howe  Gabriel Figueroa;United States;Jack Conway  Uncredited:  Howard Hawks  William Wellman;MGM;George Amy;English;Herbert Stothart;David O. Selznick;;Wallace Beery  Fay Wray  Leo Carrillo;;Viva Villa!;Ben Hecht Uncredited:  Howard Hawks  James Kevin McGuinness Howard Emmett Rogers;46;Viva Villa! (book)  by Edgecumb Pinchon O.B. Stade;$1,875,000 [ 1 ];;
1934  (7th);The White Parade;http://oscars.yipitdata.com/films/The_White_Parade;Jesse L. Lasky;Fox;http://en.wikipedia.org/wiki/The_White_Parade;False;;   November 16, 1934 ( 1934-11-16 )  (U.S.)       ;80 minutes;;Arthur C. Miller;United States;Irving Cummings;Fox Film Corporation;;English;Louis De Francesco;Jesse L. Lasky;;Loretta Young  John Boles;;The White Parade;Rian James (novel)/(screenplay) Jesse L. Lasky  Sonya Levien Ernest Pascal;47;;;;
1935  (8th);Mutiny on the Bounty  [J];http://oscars.yipitdata.com/films/Mutiny_on_the_Bounty_(1935_film);Irving Thalberg , Albert Lewin;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/Mutiny_on_the_Bounty_(1935_film);True;;   November 8, 1935 ( 1935-11-08 )        [ 1 ];132 minutes;$1,950,000 [ 2 ];Arthur Edeson;United States;Frank Lloyd;Metro-Goldwyn-Mayer;Margaret Booth;English;Score:  Herbert Stothart Nat W. Finston (uncredited)  Song:  Walter Jurmann  Bronisław Kaper  (both uncredited);Frank Lloyd  Irving Thalberg;;Charles Laughton  Clark Gable  Franchot Tone  Movita  Mamo;;Mutiny on the Bounty  [J];Novel:  Charles Nordhoff  James Norman Hall  Screenplay:  Talbot Jennings  Jules Furthman  Carey Wilson;48;;$4,460,000 [ 2 ] [ 3 ]  (rentals);;
1935  (8th);Alice Adams;http://oscars.yipitdata.com/films/Alice_Adams_(film);Pandro S. Berman;RKO Radio;http://en.wikipedia.org/wiki/Alice_Adams_(film);False; RKO Radio Pictures ;   August 15, 1935 ( 1935-08-15 ) [ 1 ]       ;99 minutes;$342,000 [ 2 ];Robert De Grasse;United States;George Stevens;RKO Radio Pictures;Jane Loring;English;Max Steiner and Roy Webb;Pandro S. Berman;;Katharine Hepburn  Fred MacMurray  Fred Stone  Evelyn Venable;;Alice Adams;Dorothy Yost, Mortimer Offner , and Jane Murfin;49;;$770,000 [ 2 ];;
1935  (8th);Broadway Melody of 1936;http://oscars.yipitdata.com/films/Broadway_Melody_of_1936;John W. Considine, Jr.;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/Broadway_Melody_of_1936;False;;   August 25, 1935 ( 1935-08-25 )  ( New York City )  September 18, 1935 ( 1935-09-18 )  ( Los Angeles ) [ 1 ]      ;101 minutes;$1,062,000 [ 2 ];Charles Rosher;United States;Roy Del Ruth;Metro-Goldwyn-Mayer;Blanche Sewell;English;Nacio Herb Brown;John W. Considine Jr.;;Jack Benny  Eleanor Powell  Robert Taylor  Una Merkel  Frances Langford  Sid Silvers  Buddy Ebsen  Vilma Ebsen;;Broadway Melody of 1936;Harry W. Conn  Moss Hart Jack McGowan  Sid Silvers;50;;$2,871,000 [ 2 ];;
1935  (8th);Captain Blood [J];http://oscars.yipitdata.com/films/Captain_Blood_(1935_film);Hal B. Wallis , Harry Joe Brown , Gordon Hollingshead;Warner Bros., Cosmopolitan;http://en.wikipedia.org/wiki/Captain_Blood_(1935_film);False; Cosmopolitan Productions ;   December 28, 1935 ( 1935-12-28 )  (USA)       ;119 minutes;$1,000,000 (estimated);   Ernest Haller  Hal Mohr   ;United States;Michael Curtiz;Warner Bros. Pictures, Inc.;George Amy;English;Erich Wolfgang Korngold;   Harry Joe Brown  Gordon Hollingshead   ;Casey Robinson;   Errol Flynn  Olivia de Havilland  Basil Rathbone  Ross Alexander   ;;Captain Blood [J];;51;Captain Blood 1922 novel by Rafael Sabatini;$2,475,000;;
1935  (8th);David Copperfield;http://oscars.yipitdata.com/films/Personal_History,_Adventures,_Experience,_and_Observation_of_David_Copperfield_the_Younger_(1935);David O. Selznick;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/Personal_History,_Adventures,_Experience,_and_Observation_of_David_Copperfield_the_Younger_(1935);False;;January 18, 1935 ( 1935-01-18 );130 minutes;$1,073,000 [ 1 ] [ 2 ];Oliver T. Marsh;United States;George Cukor;Metro-Goldwyn-Mayer;Robert Kern;English;Herbert Stothart  William Axt;David O. Selznick;;W. C. Fields  Lionel Barrymore  Freddie Bartholomew  Maureen O'Sullivan  Basil Rathbone;;David Copperfield;Novel:  Charles Dickens  Adaptation:  Hugh Walpole  Screenplay:  Howard Estabrook  Uncredited  Lenore J. Coffee;52;;$1,621,000 (Domestic earnings) [ 1 ] [ 2 ] $1,348,000 (Foreign earnings) [ 1 ];;
1935  (8th);The Informer [J];http://oscars.yipitdata.com/films/The_Informer_(1935_film);Cliff Reid;RKO Radio;http://en.wikipedia.org/wiki/The_Informer_(1935_film);False; RKO Radio Pictures ;   May 9, 1935 ( 1935-05-09 )  (USA)       ;91 minutes;$243,000 [ 1 ];Joseph H. August;United States;John Ford;RKO Radio Pictures (USA);George Hively;English;Max Steiner;John Ford  Cliff Reid (associate);Dudley Nichols;Victor McLaglen  Heather Angel  Preston Foster  Margot Grahame  Wallace Ford  Una O'Connor;;The Informer [J];;53;The Informer  by Liam O'Flaherty;$950,000 [ 1 ];;
1935  (8th);The Lives of a Bengal Lancer;http://oscars.yipitdata.com/films/The_Lives_of_a_Bengal_Lancer_(film);Louis D. Lighton;Paramount;http://en.wikipedia.org/wiki/The_Lives_of_a_Bengal_Lancer_(film);False; Paramount Pictures ;   January 11, 1935 ( 1935-01-11 )  (United States)       ;109 minutes;;Charles Lang;United States;Henry Hathaway;Paramount Pictures;Ellsworth Hoagland;English;Herman Hand  John Leipold Milan Roder  Heinz Roemheld;Louis D. Lighton;;Gary Cooper  Franchot Tone  Richard Cromwell  Guy Standing;;The Lives of a Bengal Lancer;William Slavens McNutt  Grover Jones  Waldemar Young  John L. Balderston  Achmed Abdullah;54;;$49 million (2008 equivalent of $1.5 million in the 1930s);;
1935  (8th);A Midsummer Night's Dream;http://oscars.yipitdata.com/films/A_Midsummer_Night%2527s_Dream_(1935_film);Henry Blanke;Warner Bros.;http://en.wikipedia.org/wiki/A_Midsummer_Night%27s_Dream_(1935_film);False; Warner Bros. Pictures ;   October 30, 1935 ( 1935-10-30 )  (USA)       ;133 minutes;$981,000 [ 1 ];Hal Mohr;United States;   Max Reinhardt  William Dieterle   ;Warner Bros. Pictures;Ralph Dawson;English;Felix Mendelssohn;Henry Blanke;   Charles Kenyon  Mary C. McCall, Jr.   ;   Ian Hunter  James Cagney  Mickey Rooney  Olivia de Havilland  Joe E. Brown  Dick Powell  Victor Jory   ;;A Midsummer Night's Dream;;55;A Midsummer Night's Dream  by William Shakespeare;$1.229 million [ 1 ];;
1935  (8th);Les Misérables;http://oscars.yipitdata.com/films/Les_Mis%C3%A9rables_(1935_film);Darryl F. Zanuck;20th Century, United Artists;http://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(1935_film);False;;;;;;;;;;;;;;;;;;56;;;;
1935  (8th);Naughty Marietta;http://oscars.yipitdata.com/films/Naughty_Marietta_(film);Hunt Stromberg;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/Naughty_Marietta_(film);False;;   March 8, 1935 ( 1935-03-08 )       ;105 minutes;$782,000 [ 1 ];William H. Daniels;United States;Robert Z. Leonard  W.S. Van Dyke;Metro-Goldwyn-Mayer;Blanche Sewell;English;Dimitri Tiomkin  Victor Herbert;Hunt Stromberg  W.S. Van Dyke;;Jeanette MacDonald  Nelson Eddy  Elsa Lanchester  Douglass Dumbrille;;Naughty Marietta;Frances Goodrich  Albert Hackett  John Lee Mahin;57;;$2,057,000 [ 1 ];;
1935  (8th);Ruggles of Red Gap;http://oscars.yipitdata.com/films/Ruggles_of_Red_Gap;Arthur Hornblow, Jr.;Paramount;http://en.wikipedia.org/wiki/Ruggles_of_Red_Gap;False;;February 19, 1935 ( 1935-02-19T US );90 minutes;;Alfred Gilks;United States;Leo McCarey;Paramount Pictures;Edward Dmytryk [ 3 ];English;;Arthur Hornblow Jr.;Walter DeLeon  Harlan Thompson;   Charles Laughton  Mary Boland  Charlie Ruggles  ZaSu Pitts   ;Humphrey Pearson;Ruggles of Red Gap;;58;Ruggles of Red Gap 1915 novel by Harry Leon Wilson [ 1 ] [ 2 ];;;
1935  (8th);Top Hat;http://oscars.yipitdata.com/films/Top_Hat;Pandro S. Berman;RKO Radio;http://en.wikipedia.org/wiki/Top_Hat;False; RKO Radio Pictures ;   August 29, 1935 ( 1935-08-29 )  (Premiere - New York City ) [ 2 ]  September 6, 1935 ( 1935-09-06 ) [ 3 ]      ;101 minutes;$ 609,000 [ 4 ];David Abel;United States;Mark Sandrich;RKO Radio Pictures;William Hamilton;English;Irving Berlin  (songs)  Max Steiner  (score);Pandro S. Berman;Allan Scott  Dwight Taylor  Ben Holmes  Ralph Spence Károly Nóti (uncredited) [ 1 ];Fred Astaire  Ginger Rogers;;Top Hat;;59;Scandal in Budapest (play) by Sándor Faragó (uncredited)  A Girl Who Dares (play) by Aladar Laszlo (uncredited) [ 1 ];$ 3.2 million [ 4 ];;
1936  (9th);The Great Ziegfeld;http://oscars.yipitdata.com/films/The_Great_Ziegfeld;Hunt Stromberg;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/The_Great_Ziegfeld;True;;   March 22, 1936 ( 1936-03-22 )        (Los Angeles) [ 1 ]    April 8, 1936 ( 1936-04-08 )  (USA)       ;177 minutes [ 2 ] 185 minutes (roadshow);$2.183 million [ 3 ];Oliver T. Marsh;United States;Robert Z. Leonard;Metro-Goldwyn-Mayer;William S. Gray;English;Walter Donaldson  Lyrics:  Harold Adamson;Hunt Stromberg;;William Powell  Myrna Loy  Luise Rainer;;The Great Ziegfeld;William Anthony McGuire;60;;$4,673,000 [ 3 ];;
1936  (9th);Anthony Adverse;http://oscars.yipitdata.com/films/Anthony_Adverse;Henry Blanke;Warner Bros.;http://en.wikipedia.org/wiki/Anthony_Adverse;False; Warner Bros. Pictures ;   July 29, 1936 ( 1936-07-29 )        (Los Angeles) [ 1 ]    August 29, 1936 ( 1936-08-29 )  (USA)       ;141 minutes;;Tony Gaudio;United States;Mervyn LeRoy;Warner Bros. Pictures;Ralph Dawson;English;Erich Wolfgang Korngold;Hal B. Wallis  Jack L. Warner;Sheridan Gibney Milton Krims;Fredric March  Olivia de Havilland  Gale Sondergaard;;Anthony Adverse;;61;Anthony Adverse  by Hervey Allen;;;
1936  (9th);Dodsworth;http://oscars.yipitdata.com/films/Dodsworth_(film);Samuel Goldwyn , Merritt Hulbert;Goldwyn, United Artists;http://en.wikipedia.org/wiki/Dodsworth_(film);False; Samuel Goldwyn Productions ;   September 23, 1936 ( 1936-09-23 )       ;101 minutes;;Rudolph Maté;United States;William Wyler;United Artists;Daniel Mandell;English;Alfred Newman;Samuel Goldwyn Merritt Hulburd;;Walter Huston  Ruth Chatterton  Paul Lukas  Mary Astor  David Niven;;Dodsworth;Sidney Howard;62;Dodsworth 1934 play by Sidney Howard  Dodsworth 1929 novel by Sinclair Lewis;$1.6 million [ 1 ] [ 2 ];;
1936  (9th);Libeled Lady;http://oscars.yipitdata.com/films/Libeled_Lady;Lawrence Weingarten;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/Libeled_Lady;False;;   October 9, 1936 ( 1936-10-09 )       ;98 minutes;$603,000 [ 1 ];Norbert Brodine;United States;Jack Conway;Metro-Goldwyn-Mayer;Frederick Y. Smith;English;William Axt;Lawrence Weingarten;;Jean Harlow  William Powell  Myrna Loy  Spencer Tracy  Walter Connolly;;Libeled Lady;Maurine Dallas Watkins Howard Emmett Rogers George Oppenheimer;63;;$2,723,000 [ 1 ];;
1936  (9th);Mr. Deeds Goes to Town;http://oscars.yipitdata.com/films/Mr._Deeds_Goes_to_Town;Frank Capra;Columbia;http://en.wikipedia.org/wiki/Mr._Deeds_Goes_to_Town;False;;   April 16, 1936 ( 1936-04-16 )       ;115 minutes;$845,710;Joseph Walker;United States;Frank Capra;Columbia Pictures;Gene Havlick;English;Howard Jackson;Frank Capra;Robert Riskin;Gary Cooper  Jean Arthur  George Bancroft;;Mr. Deeds Goes to Town;;64;Opera Hat 1935 short story by Clarence Budington Kelland;more than $1 million [ 1 ];;
1936  (9th);Romeo and Juliet;http://oscars.yipitdata.com/films/Romeo_and_Juliet_(1936_film);Irving Thalberg;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/Romeo_and_Juliet_(1936_film);False;;   August 20, 1936 ( 1936-08-20 )       ;125 minutes;$2,066,000 [ 1 ] [ 2 ];William H. Daniels;United States;George Cukor;Metro-Goldwyn-Mayer;Margaret Booth;English;Herbert Stothart;Irving Thalberg;;   Norma Shearer  Leslie Howard   ;;Romeo and Juliet;   Talbot Jennings  William Shakespeare  (play)   ;65;;   $962,000 (Domestic earnings)  $1,113,000 (Foreign earnings)    [ 1 ] [ 2 ];;
1936  (9th);San Francisco;http://oscars.yipitdata.com/films/San_Francisco_(1936_film);John Emerson , Bernard H. Hyman;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/San_Francisco_(1936_film);False; Metro-Goldwyn-Mayer ;June 26, 1936 ( 1936-06-26 );115 minutes;$1,300,000 [ 1 ] [ 2 ];Oliver T. Marsh;United States;W. S. Van Dyke , D. W. Griffith;Metro-Goldwyn-Mayer;Tom Held;English;Walter Jurmann  Bronislaw Kaper  Edward Ward;John Emerson  Bernard H. Hyman;;Clark Gable  Jeanette MacDonald  Spencer Tracy  Jack Holt  Jessie Ralph  Ted Healy;;San Francisco;Robert E. Hopkins  Anita Loos;66;;$2,868,000 (Domestic earnings) [ 1 ] $2,405,000 (Foreign earnings) [ 1 ];;
1936  (9th);The Story of Louis Pasteur;http://oscars.yipitdata.com/films/The_Story_of_Louis_Pasteur;Henry Blanke;Warner Bros.;http://en.wikipedia.org/wiki/The_Story_of_Louis_Pasteur;False;;   February 22, 1936 ( 1936-02-22 )       ;87 minutes;;Tony Gaudio;United States;William Dieterle;Warner Bros.;Ralph Dawson;English;;Henry Blanke;;Paul Muni  Josephine Hutchinson  Anita Louise  Donald Woods;;The Story of Louis Pasteur;Pierre Collings  Sheridan Gibney;67;;;;
1936  (9th);A Tale of Two Cities;http://oscars.yipitdata.com/films/A_Tale_of_Two_Cities_(1935_film);David O. Selznick;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/A_Tale_of_Two_Cities_(1935_film);False;;   December 27, 1935 ( 1935-12-27 )       ;123 minutes;$1,232,000 [ 1 ];Oliver T. Marsh;United States;Jack Conway;Metro-Goldwyn-Mayer;Conrad A. Nervig;English;Herbert Stothart;David O. Selznick;;Ronald Colman  Elizabeth Allan;;A Tale of Two Cities;W. P. Lipscomb (screenplay)  S. N. Behrman;68;A Tale of Two Cities  by Charles Dickens;$1,111,000 (Domestic earnings) [ 1 ] $1,183,000 (Foreign earnings) [ 1 ];;
1936  (9th);Three Smart Girls;http://oscars.yipitdata.com/films/Three_Smart_Girls;Joe Pasternak , Charles R. Rogers;Universal;http://en.wikipedia.org/wiki/Three_Smart_Girls;False; Universal Pictures ;   December 20, 1936 ( 1936-12-20 )  (USA)       ;84 minutes;;Joseph A. Valentine;United States;Henry Koster;Universal Pictures;Ted J. Kent;English;;Joe Pasternak;   Adele Comandini  Austin Parker   ;   Barbara Read  Nan Grey  Deanna Durbin  Ray Milland   ;;Three Smart Girls;;69;;;;
1937  (10th);The Life of Emile Zola;http://oscars.yipitdata.com/films/The_Life_of_Emile_Zola;Henry Blanke;Warner Bros.;http://en.wikipedia.org/wiki/The_Life_of_Emile_Zola;True; Warner Bros. ;   August 11, 1937 ( 1937-08-11 )       ;116 minutes;;Tony Gaudio;United States;William Dieterle;Warner Bros.;Warren Low;English;Max Steiner;Henry Blanke;Heinz Herald  Geza Herczeg  Norman Reilly Raine;Paul Muni  Gloria Holden  Gale Sondergaard  Joseph Schildkraut;Heinz Herald Geza Herczeg;The Life of Emile Zola;;70;Zola and His Time  by Matthew Josephson;;;
1937  (10th);The Awful Truth;http://oscars.yipitdata.com/films/The_Awful_Truth;Leo McCarey , Everett Riskin;Columbia;http://en.wikipedia.org/wiki/The_Awful_Truth;False; Columbia Pictures ;   October 21, 1937 ( 1937-10-21 )       ;90 minutes;;Joseph Walker;United States;Leo McCarey;Columbia Pictures;Al Clark;English;Ben Oakland;Leo McCarey;Viña Delmar  Sidney Buchman  (uncr.);Irene Dunne  Cary Grant;;The Awful Truth;;71;The Awful Truth 1922 play by Arthur Richman;over $3 million [ 1 ];;
1937  (10th);Captains Courageous;http://oscars.yipitdata.com/films/Captains_Courageous_(1937_film);Louis Lighton;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/Captains_Courageous_(1937_film);False; Metro-Goldwyn-Mayer ;   May 11, 1937 ( 1937-05-11 )       ;115 minutes;$1,645,000 [ 1 ];Harold Rosson;United States;Victor Fleming;Metro-Goldwyn-Mayer;Elmo Veron;English;Franz Waxman;;;Freddie Bartholomew  Spencer Tracy;;Captains Courageous;Rudyard Kipling (novel);72;;$3,133,000 [ 1 ];;
1937  (10th);Dead End;http://oscars.yipitdata.com/films/Dead_End_(1937_film);Samuel Goldwyn , Merritt Hulbert;Goldwyn, United Artists;http://en.wikipedia.org/wiki/Dead_End_(1937_film);False; Samuel Goldwyn Productions ;   August 27, 1937 ( 1937-08-27 )  (U.S.)       ;93 minutes;$900,000 (est);Gregg Toland;United States;William Wyler;United Artists;Daniel Mandell;English;Alfred Newman;Samuel Goldwyn;;Sylvia Sidney  Joel McCrea  Humphrey Bogart  Wendy Barrie  Claire Trevor  Allen Jenkins;;Dead End;Sidney Kingsley (play)  Lillian Hellman (screenplay);73;;;;
1937  (10th);The Good Earth;http://oscars.yipitdata.com/films/The_Good_Earth_(film);Irving Thalberg , Albert Lewin;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/The_Good_Earth_(film);False;;   January 29, 1937 ( 1937-01-29 )  (United States)        [ 1 ];138 mins.;$2,816,000 [ 2 ];Karl Freund , A.S.C.;United States;Sidney Franklin  Victor Fleming (uncredited)  Gustav Machatý (uncredited);Metro-Goldwyn-Mayer;Basil Wrangell;English;Herbert Stothart  Edward Ward (uncredited);Irving Thalberg  Albert Lewin (associate producer);Talbot Jennings  Tess Slesinger  and  Claudine West;Paul Muni  and  Luise Rainer;;The Good Earth;;74;the novel by Pearl S. Buck adapted for the stage by  Owen Davis and Donald Davis;$3,557,000 [ 2 ];;
1937  (10th);In Old Chicago;http://oscars.yipitdata.com/films/In_Old_Chicago;Darryl F. Zanuck , Kenneth MacGowan;20th Century Fox;http://en.wikipedia.org/wiki/In_Old_Chicago;False; 20th Century Fox ;   January 6, 1938 ( 1938-01-06 )  (New York City)  April 15, 1938 ( 1938-04-15 )  (U.S.)      ;96 minutes;;J. Peverell Marley;United States;Henry King;20th Century Fox;Barbara McLean;English;Sidney Clare  Lew Pollack;Darryl F. Zanuck  Kenneth Macgowan;;Tyrone Power  Alice Faye  Don Ameche  Alice Brady;;In Old Chicago;Story:  Niven Busch  Screenplay:  Sonya Levien  Lamar Trotti;75;;;;
1937  (10th);Lost Horizon;http://oscars.yipitdata.com/films/Lost_Horizon_(1937_film);Frank Capra;Columbia;http://en.wikipedia.org/wiki/Lost_Horizon_(1937_film);False;;   March 2, 1937 ( 1937-03-02 )       ;132 minutes 210 minutes (original cut);$2 million [ 1 ];Joseph Walker  Elmer Dyer;United States;Frank Capra;Columbia Pictures;Gene Havlick  Gene Milford;English;Dimitri Tiomkin;Frank Capra;Robert Riskin;Ronald Colman  Jane Wyatt  Sam Jaffe  John Howard  H.B. Warner;;Lost Horizon;;76;Lost Horizon 1933 novel by James Hilton;;;
1937  (10th);One Hundred Men and a Girl;http://oscars.yipitdata.com/films/One_Hundred_Men_and_a_Girl;Charles R. Rogers , Joe Pasternak;Universal;http://en.wikipedia.org/wiki/One_Hundred_Men_and_a_Girl;False; Universal Pictures ;   September 5, 1937 ( 1937-09-05 )  (USA)       ;85 minutes;;Joseph A. Valentine;United States;Henry Koster;Universal Pictures;Bernard W. Burton;English;   Charles Previn  Frank Skinner   ;   Joe Pasternak  Charles R. Rogers   ;   Charles Kenyon  Bruce Manning  James Mulhauser   ;Deanna Durbin;Hanns Kräly;One Hundred Men and a Girl;;77;;;;
